ID,qcc1,qcc2,qcc3,qcc4,qcc5,qcc6,qcc7,qcc8,qcc9,qcc10,qcc11,qcc12,qcc13,qcc14,qcc15,qcc16,qcc17,qcc18,qcc19,qcc20,qcc21,qcc22,qcc23,qcc24,qcc25,qcc26,qcc27,qcc28,qcc29,qcc30,qcc31,qcc32,qcc33,qcc34,qcc35,qcc36,qcc37,qcc38,qcc39,qcc40,qcc41,qcc42,qcc43,qcc44,qcc45,qcc46,qcc47,qcc48,qcc49,qcc50,qccTIME
150009129,5,4,3,4,4,2,1,3,3,4,4,2,5,5,1,3,4,4,4,2,1,3,2,2,3,3,4,4,4,5,4,2,5,4,2,4,1,2,2,3,1,4,4,4,4,4,2,1,5,1,5/3/2014 6:20:50 PM
150005511,3,3,4,2,5,4,3,2,5,2,3,4,4,3,4,4,4,4,2,4,3,4,4,4,4,3,4,3,2,3,1,3,4,4,3,3,4,4,5,2,2,4,3,4,2,5,3,2,3,3,5/3/2014 6:26:43 PM
150008875,3,3,4,3,5,5,2,3,5,5,3,2,5,5,2,2,3,4,5,2,2,3,3,3,4,3,5,3,3,5,4,3,5,5,1,5,2,1,3,2,3,4,1,3,3,4,4,2,4,2,5/3/2014 6:35:03 PM
151001047,5,4,0,2,4,3,2,3,4,5,2,3,3,5,4,4,4,5,4,4,3,5,4,3,3,2,2,3,3,5,4,3,4,3,3,4,3,4,4,4,4,5,1,3,3,4,3,2,5,2,5/3/2014 6:45:45 PM
152009219,4,4,5,5,5,2,2,1,3,5,5,2,5,1,1,5,5,3,5,3,1,2,2,2,2,1,4,3,4,3,4,3,5,5,2,5,1,2,2,4,2,5,4,5,4,4,2,1,5,2,5/3/2014 6:59:17 PM
150009154,4,3,4,1,2,4,4,4,5,3,1,5,3,3,4,1,2,4,3,4,4,3,4,4,5,3,4,1,3,2,4,1,3,2,2,2,3,2,3,3,4,2,1,3,3,3,4,3,3,4,5/3/2014 7:04:53 PM
144008908,5,3,0,1,4,4,2,1,2,3,2,5,2,4,2,2,1,3,2,4,2,3,2,3,5,3,4,1,1,4,4,3,4,2,2,4,3,3,4,1,3,3,2,3,2,4,5,2,2,5,5/3/2014 7:14:32 PM
145000731,5,1,4,3,5,2,4,1,5,4,2,4,2,1,3,1,2,4,4,5,4,1,4,5,5,2,3,1,1,4,4,3,5,3,2,2,2,1,2,2,2,1,4,4,5,4,2,3,4,3,5/3/2014 7:16:04 PM
150009708,4,5,3,5,4,0,0,5,3,5,4,4,3,5,4,0,3,5,4,4,3,4,3,5,5,4,0,3,4,5,3,4,4,0,1,3,4,3,4,5,3,3,4,2,3,0,4,4,5,4,5/3/2014 7:24:58 PM
151003781,4,2,5,2,4,3,2,2,2,4,2,2,3,2,4,3,3,5,3,3,3,4,2,3,3,1,3,2,1,3,4,2,4,2,3,3,3,3,5,2,3,3,3,2,4,4,2,3,4,2,5/3/2014 7:45:13 PM
150002478,3,2,2,4,5,5,1,4,4,2,2,1,5,5,5,4,4,4,5,5,4,4,1,1,5,2,5,5,4,4,4,5,5,5,4,4,4,4,4,4,5,3,4,4,4,5,5,5,5,5,5/3/2014 7:52:19 PM
