ID,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50,QCTIME
151002261,4,2,3,2,4,3,2,3,4,2,4,3,2,4,3,2,4,5,4,2,3,3,4,1,1,3,3,5,2,3,4,1,5,3,4,3,4,2,4,3,5,1,4,2,2,4,3,2,3,3,9/8/2013 1:44:26 PM
150009606,2,3,2,2,3,1,2,2,5,3,2,2,5,1,1,3,3,5,4,1,1,1,1,4,2,5,5,5,2,5,4,1,5,3,4,4,1,1,5,5,4,1,1,2,2,4,1,1,3,1,9/8/2013 1:52:20 PM
150008875,2,3,4,4,5,2,2,2,4,5,3,4,5,5,3,3,4,4,5,2,2,3,1,3,4,2,4,3,3,4,4,4,4,4,2,4,4,2,4,2,2,3,2,4,4,4,2,1,4,3,9/8/2013 1:53:34 PM
152001256,3,2,4,1,3,2,3,2,3,4,3,3,2,4,2,3,2,4,5,2,2,3,2,2,3,2,3,2,2,4,4,4,3,3,2,4,3,3,2,3,4,3,2,3,3,4,2,2,3,3,9/8/2013 1:56:04 PM
152001217,3,4,4,2,4,3,3,4,4,4,4,4,5,5,4,4,4,5,2,4,2,3,3,4,5,1,5,3,4,4,4,3,4,4,3,4,2,2,3,4,3,3,1,3,4,3,2,2,4,3,9/8/2013 1:57:18 PM
151000089,3,4,4,1,5,4,2,3,3,3,4,2,4,3,3,3,3,3,4,2,2,3,3,2,3,3,4,3,4,3,3,4,3,3,2,4,3,4,3,4,2,1,2,4,3,3,2,4,3,2,9/8/2013 1:58:35 PM
151004767,4,4,5,3,4,5,3,4,5,3,2,5,4,5,2,4,4,5,5,4,3,4,4,5,4,1,5,4,2,4,4,2,4,5,3,4,4,2,4,4,2,1,1,4,3,4,4,1,4,1,9/8/2013 2:05:53 PM
152007217,3,3,4,2,2,2,4,3,4,3,4,2,3,4,2,1,3,4,4,2,3,3,3,2,0,2,3,3,4,4,4,3,4,3,4,4,3,2,0,3,3,3,1,3,2,4,2,3,2,2,9/8/2013 2:06:15 PM
150009433,4,4,5,3,3,2,2,1,5,4,4,2,4,0,3,4,4,4,5,2,3,5,2,3,0,2,4,4,4,4,4,3,4,4,2,4,3,2,5,4,2,3,3,4,4,4,1,2,5,2,9/8/2013 2:08:05 PM
152007964,3,3,4,1,3,2,2,3,2,2,3,4,2,3,3,2,2,3,2,3,4,4,4,4,2,2,4,2,4,3,4,2,3,2,2,3,3,2,3,4,5,4,1,4,3,3,2,3,4,3,9/8/2013 2:11:54 PM
152005144,5,3,3,2,2,3,2,2,3,2,2,4,4,5,3,2,2,3,3,3,3,4,3,3,3,2,2,2,2,3,4,2,4,2,2,3,2,3,2,3,3,3,2,3,3,2,3,3,4,3,9/8/2013 2:13:37 PM
150007356,4,3,4,2,2,2,3,3,4,4,3,2,4,3,2,3,2,4,4,3,3,2,2,3,2,2,4,2,3,4,4,3,3,2,2,3,2,2,2,3,3,4,2,4,4,4,3,2,4,3,9/8/2013 2:14:06 PM
152005844,2,4,5,5,3,2,2,1,4,2,2,2,5,4,2,5,3,4,4,1,4,3,2,3,2,2,4,3,2,5,4,1,5,5,1,5,5,2,3,4,1,2,4,4,4,4,2,2,4,2,9/8/2013 2:15:15 PM
153000492,2,2,4,2,5,4,1,2,4,4,4,3,4,4,1,1,4,3,5,2,2,4,1,2,3,1,4,3,4,5,4,1,5,3,1,2,2,2,4,4,3,2,1,5,4,3,1,1,4,2,9/8/2013 2:16:56 PM
151005289,2,4,5,4,5,3,2,3,2,4,4,3,4,4,2,4,4,3,5,1,2,3,2,2,3,1,4,5,4,4,4,1,4,4,1,4,2,2,2,4,1,3,2,5,4,3,2,1,4,1,9/8/2013 2:17:16 PM
