ID,qp1,qp2,qp3,qp4,qp5,qp6,qp7,qp8,qp9,qp10,qp11,qp12,qp13,qp14,qp15,qp16,qp17,qp18,qp19,qp20,qp21,qp22,qp23,qp24,qp25,qp26,qp27,qp28,qp29,qp30,qp31,qp32,qp33,qp34,qp35,qp36,qp37,qp38,qp39,qp40,qp41,qp42,qpTIME
150009223,1,3,5,4,2,1,1,3,4,2,3,5,1,4,5,5,5,1,5,2,2,3,3,2,5,5,5,4,3,4,1,2,3,5,2,3,4,3,3,4,2,4,12/10/13 8:54
151003979,1,5,5,2,1,1,3,2,1,1,5,4,2,5,4,4,1,2,5,3,1,2,1,5,5,5,1,4,1,5,4,1,5,5,1,4,4,4,5,1,4,5,12/10/13 12:51
152005944,1,4,3,2,1,1,2,4,3,1,4,5,2,3,5,5,2,1,4,2,2,4,3,4,5,5,4,5,2,5,4,4,4,4,1,2,5,4,4,1,2,5,12/10/13 13:26
150009946,3,3,4,2,3,3,3,3,2,3,3,3,4,4,3,3,3,3,2,3,3,3,4,2,3,2,3,4,2,3,4,4,3,3,3,3,3,4,4,3,4,3,12/10/13 15:19
151006644,1,5,5,5,1,3,5,5,1,1,5,3,1,5,5,2,1,5,5,1,1,4,1,5,5,5,3,5,1,5,4,1,1,5,1,5,5,3,5,1,5,5,12/10/13 18:51
151006661,4,5,4,5,1,2,3,4,3,2,4,3,1,4,4,5,2,3,4,3,4,4,2,4,4,4,4,5,2,5,4,2,4,4,2,3,3,4,4,2,3,4,12/11/13 17:57
151000285,2,5,3,3,3,4,3,3,5,3,5,3,3,4,4,5,4,3,5,3,3,3,5,4,4,5,4,5,4,5,4,4,4,5,2,3,4,3,4,4,5,3,12/11/13 23:58
151000285,4,4,2,4,3,4,2,4,4,3,4,3,1,4,4,4,4,3,3,4,3,2,3,4,4,4,2,4,2,4,4,2,2,3,3,3,3,0,5,2,3,4,12/12/13 0:05
153003316,1,5,5,2,3,1,3,3,1,2,5,5,4,5,5,5,2,3,5,3,1,1,1,5,5,5,1,5,1,5,4,1,4,5,1,5,5,4,5,2,5,5,12/12/13 22:54
151007789,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,12/13/13 23:38
153001571,5,5,5,5,4,4,4,5,5,1,5,5,1,0,5,0,0,1,5,0,0,0,0,0,5,4,2,3,4,4,4,1,5,4,1,5,1,3,5,1,5,5,12/17/13 1:13
152003463,1,1,1,1,2,3,3,2,3,1,2,3,2,3,3,3,2,3,2,4,4,2,4,3,2,3,2,3,2,3,4,3,1,2,2,3,2,1,2,4,2,2,12/17/13 13:01
145004761,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12/18/13 22:05
150007633,4,5,1,4,2,2,3,4,1,2,3,3,4,2,3,2,4,2,4,2,2,2,4,4,3,4,4,4,3,4,3,4,4,2,4,2,4,4,4,2,3,3,11/22/13 12:51
151001444,3,3,3,3,3,4,4,3,4,3,4,2,3,3,2,3,3,3,4,3,4,2,3,3,3,3,3,3,3,3,4,2,3,3,4,4,3,4,2,2,3,5,11/25/13 2:07
,4,2,3,4,3,2,0,4,2,3,4,5,3,3,4,4,3,1,4,4,4,3,2,3,3,4,3,4,1,4,4,3,4,3,2,1,3,3,4,2,3,3,11/25/13 17:34
152000909,1,5,5,2,5,1,3,5,1,1,1,5,1,5,4,5,1,3,5,2,1,4,1,4,5,5,1,5,1,5,4,1,5,5,1,5,5,5,3,5,5,5,11/26/13 13:05
144006879,1,5,4,4,3,2,1,5,1,3,5,4,4,2,3,4,2,1,4,2,5,4,3,3,1,4,3,4,2,0,4,2,2,3,2,3,4,4,4,3,2,3,12/4/13 13:18
150001338,3,3,5,5,3,3,5,4,4,4,4,5,3,3,4,3,4,4,3,3,5,5,3,5,3,4,1,4,2,4,4,3,5,5,3,4,4,4,5,3,1,4,12/4/13 16:32
150004506,3,4,3,3,3,2,2,3,2,2,3,4,2,4,3,4,3,3,4,2,4,3,2,3,3,3,3,4,1,4,4,2,3,3,2,3,2,3,4,4,3,3,12/4/13 16:56
153001065,3,4,4,3,2,2,2,3,1,2,5,5,2,4,4,3,3,3,4,2,1,2,2,5,3,5,4,4,2,5,4,2,3,3,2,5,5,5,5,1,4,5,12/4/13 18:35
